City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,talnakh,69.4865,88.3972,-1.55,94,100,1.49,RU,1697129168
264,bel ombre,-4.6167,55.4167,27.91,74,20,3.09,SC,1697129168
265,villa gesell,-37.2639,-56.973,10.93,58,6,5.1,AR,1697129168
266,chegdomyn,51.1167,133.0167,6.29,88,39,1.34,RU,1697129169
267,ponta delgada,37.7333,-25.6667,24.55,78,40,7.2,PT,1697129169
268,siwana,25.6333,72.4167,29.39,36,0,3.39,IN,1697129169
269,alice springs,-23.7,133.8833,16.75,34,0,3.6,AU,1697129153
270,kristinestad,62.2743,21.376,5.61,69,74,8.13,FI,1697129170
271,iskateley,67.6803,53.1512,1.12,76,100,4.02,RU,1697129170
272,playa del ingles,27.7567,-15.5787,26.86,44,5,3.88,ES,1697129109
273,hitzacker,53.1525,11.0442,12.05,71,84,1.15,DE,1697129171
274,tshabong,-26.05,22.45,23.56,27,11,8.41,BW,1697129171
275,moires,35.0532,24.8744,21.42,61,81,2.24,GR,1697129172
276,dryden,49.7833,-92.7503,10.16,71,100,4.12,CA,1697128932
277,kaa-khem,51.6833,94.7333,12.45,52,31,2.15,RU,1697129172
278,kuta,-8.7233,115.1723,26.97,88,40,4.12,ID,1697129173
279,egilsstadir,65.2653,-14.3948,2.95,87,75,9.26,IS,1697129174
280,port lincoln,-34.7333,135.8667,11.37,81,1,4.55,AU,1697128963
281,linhares,-19.3911,-40.0722,33.53,31,4,4.66,BR,1697129176
282,nguigmi,14.2495,13.1092,31.06,41,16,3.65,NE,1697129180
283,penukonda,14.0833,77.5833,24.39,56,77,3.82,IN,1697129192
284,zaragoza,41.6561,-0.8773,28.25,24,0,3.09,ES,1697129141
285,scarborough,54.2797,-0.4044,13.14,73,0,0.89,GB,1697128901
286,mananjary,-21.2167,48.3333,22.99,87,22,2.6,MG,1697129193
287,richards bay,-28.783,32.0377,22.89,85,100,5.93,ZA,1697129194
288,uliastay,47.7417,96.8444,4.78,50,0,2.72,MN,1697129194
289,amurzet,47.6967,131.0981,10.49,62,0,3.75,RU,1697129194
290,aras-asan,8.8908,126.3033,25.91,88,90,2.29,PH,1697129195
291,catabola,-12.15,17.2833,22.99,51,91,1.67,AO,1697129200
292,alness,57.696,-4.2551,11.47,78,100,4.97,GB,1697129210
293,sao joao da barra,-21.6403,-41.0511,31.05,74,44,9.44,BR,1697129211
294,dolzhanskaya,46.6311,37.8039,12.87,38,12,2.69,RU,1697129211
295,arteche,12.2645,125.4048,25.95,86,67,1.15,PH,1697129211
296,saudarkrokur,65.7461,-19.6394,2.66,91,100,12.22,IS,1697129172
297,yung shue wan,22.2333,114.1167,26.68,68,69,1.34,HK,1697129214
298,shaoxing,30.011,120.5715,20.97,86,99,0.9,CN,1697129214
299,hakkari,37.5833,44.1667,8.88,76,20,1.03,TR,1697129215
300,thinadhoo,0.5333,72.9333,27.91,71,13,5.3,MV,1697129215
301,mahibadhoo,3.7833,72.9667,27.99,72,50,4.67,MV,1697129215
302,bridgewater,44.3835,-64.5155,19.26,57,20,4.12,CA,1697129216
303,borovichi,58.3878,33.9155,8.9,87,49,8.05,RU,1697129035
304,butzow,53.85,11.9833,13.92,74,84,2.59,DE,1697129216
305,nelson bay,-32.7167,152.15,16.16,54,79,9.39,AU,1697129216
306,jutai,-5.1833,-68.9,36.06,38,96,0.95,BR,1697129217
307,kerikeri,-35.2268,173.9474,6.62,91,12,1.71,NZ,1697129217
308,rikaze,29.25,88.8833,6.75,53,64,1.15,CN,1697128990
309,tralee,52.2704,-9.7026,13.14,88,100,2.06,IE,1697129218
310,new norfolk,-42.7826,147.0587,9.84,88,100,2.17,AU,1697129218
311,boguchany,58.3814,97.4531,5.48,71,100,2.68,RU,1697129218
312,iwanai,42.9744,140.5089,11.65,79,32,0.67,JP,1697129219
313,sitka,57.0531,-135.33,11.94,71,100,7.2,US,1697129149
314,caleta de carquin,-11.0925,-77.6267,20.97,74,72,3.95,PE,1697129219
315,beyneu,45.3167,55.2,9.57,57,46,1.99,KZ,1697129220
316,inda silase,14.1031,38.2829,20.82,58,99,0.15,ET,1697129220
317,serendah,3.3646,101.6041,26.37,94,75,0.67,MY,1697129220
318,djambala,-2.5447,14.7533,23.32,80,93,0.77,CG,1697129221
319,as sulayyil,20.4607,45.5779,34.14,14,0,3.73,SA,1697129221
320,sadat,25.6833,83.2833,24.95,51,0,2.68,IN,1697129222
321,kapuskasing,49.4169,-82.4331,7.05,93,100,4.12,CA,1697129222
322,la sarre,48.8002,-79.1996,7.18,89,100,3.34,CA,1697129222
323,fauske,67.2588,15.3918,6.02,88,100,1.06,NO,1697129223
324,oroqen zizhiqi,50.5667,123.7167,9.69,49,4,3.28,CN,1697129223
325,rosarito,32.3333,-117.0333,20.91,70,0,2.04,MX,1697129224
326,victorica,-36.2151,-65.4359,18.52,20,0,4.96,AR,1697129224
327,emerald,-23.5333,148.1667,16.3,53,6,4.34,AU,1697129224
328,gargalianoi,37.0667,21.6333,21.31,70,6,1.68,GR,1697129225
329,acapulco de juarez,16.8634,-99.8901,27.9,74,20,2.06,MX,1697129225
330,mont-dore,-22.2833,166.5833,16.99,88,66,3.36,NC,1697129225
331,kailua-kona,19.6406,-155.9956,23.98,78,0,3.09,US,1697129226
332,lagunas,-5.2269,-75.6753,39.23,29,11,1.52,PE,1697129226
333,hamilton,39.1834,-84.5333,23.74,64,0,3.09,US,1697128988
334,lagos,6.5833,3.75,31.18,84,96,2.7,NG,1697128913
335,barclayville,4.6797,-8.2339,26.1,85,86,2.25,LR,1697129227
336,birobidzhan,48.8,132.95,11.01,71,31,2.94,RU,1697129008
337,sao jose de ribamar,-2.5619,-44.0542,31.21,70,23,7.92,BR,1697129048
338,mogadishu,2.0371,45.3438,26.3,87,90,5.85,SO,1697129228
339,soio,-6.1349,12.3689,26.09,80,21,5.08,AO,1697129228
340,dudhi,24.2167,83.25,24.23,59,17,1.29,IN,1697129229
341,hobyo,5.3505,48.5268,27.32,80,5,4.78,SO,1697129229
342,am timan,11.0297,20.2827,28.76,58,99,1.37,TD,1697129229
343,san antonio de pale,-1.4014,5.6325,25.48,83,33,5.6,GQ,1697128952
344,san felipe,10.3399,-68.7425,36.36,34,44,2.93,VE,1697129230
345,lionel town,17.8101,-77.2406,31.94,67,32,5.39,JM,1697129230
346,tromso,69.6496,18.957,2.01,69,75,0.0,NO,1697129231
347,aripuana,-9.1667,-60.6333,38.48,27,65,1.86,BR,1697129231
348,fyodorovka,53.6314,62.7078,3.65,70,23,4.65,KZ,1697129231
349,ozernyy,55.5802,32.4127,9.76,80,80,5.96,RU,1697129232
350,itoman,26.1247,127.6694,25.01,65,75,5.14,JP,1697129232
351,el nido,11.1858,119.3956,27.05,82,90,1.87,PH,1697129232
352,touros,-5.1989,-35.4608,29.11,64,1,7.64,BR,1697129233
353,luderitz,-26.6481,15.1594,16.61,70,18,10.66,NA,1697128973
354,puranpur,28.5167,80.15,21.66,60,0,1.65,IN,1697129233
355,hajipur,25.6833,85.2167,26.99,83,0,0.0,IN,1697129234
356,nadym,65.5333,72.5167,0.13,82,43,3.08,RU,1697129234
357,arkhangel'sk,64.5401,40.5433,7.85,92,76,5.02,RU,1697129234
358,east london,-33.0153,27.9116,16.52,82,20,4.63,ZA,1697129235
359,pasighat,28.0667,95.3333,22.43,86,4,1.74,IN,1697129235
360,sambava,-14.2667,50.1667,23.03,81,45,1.79,MG,1697129236
